yearmo;SENT;SENT_ORTH;pdnd;ripo;nipo;cefd;s;indpro;consdur;consnon;consserv;recess;employ;cpi
196209;;;24.93000031;-0.400000006;17;;0.209999993;25.6529007;50.5;142.5;175.6999969;0;55978;30.39999962
196210;;;29.45000076;-13.39999962;7;;0.189999998;25.67989922;49;141;176.5;0;56041;30.39999962
196211;;;28.42000008;-7.800000191;11;;0.180000007;25.78759956;52.09999847;141.6999969;177.8999939;0;56056;30.39999962
196212;;;31.22999954;-11.39999962;10;;0.159999996;25.78759956;53.5;141.8000031;178.3000031;0;56028;30.39999962
196301;;;29.60000038;14.69999981;2;;0.159999996;25.9762001;53.09999847;142.8000031;178.6000061;0;56115;30.39999962
196302;;;29.57999992;-8.300000191;5;;0.159999996;26.27269936;52.40000153;141.8999939;179.1000061;0;56230;30.39999962
196303;;;29.51000023;6.300000191;7;;0.140000001;26.43440056;52.29999924;142.6999969;180;0;56320;30.5
196304;;;27.62000084;0.400000006;8;;0.129999995;26.67690086;53.20000076;142.1000061;181;0;56580;30.5
196305;;;26.39999962;9.199999809;8;;0.119999997;27.00020027;53.5;142.3999939;181.3999939;0;56616;30.5
196306;;;24.51000023;-0.899999976;10;;0.109999999;27.08110046;55;143.8999939;182.8000031;0;56659;30.60000038
196307;;;24.43000031;-1.299999952;6;;0.119999997;26.97330093;55.5;144.6999969;184.3000031;0;56794;30.70000076
196308;;;24.06999969;1.200000048;7;;0.119999997;27.0272007;54.09999847;146.5;185.6999969;0;56910;30.70000076
196309;;;23.70000076;3.5;8;;0.109999999;27.29660034;54.59999847;144.3000031;186.6000061;0;57078;30.70000076
196310;;;27.11000061;-1;8;;0.109999999;27.48530006;54.20000076;144;187.8999939;0;57283;30.79999924
196311;;;26.47999954;13.89999962;8;;0.119999997;27.62000084;55.59999847;145;188.8999939;0;57255;30.79999924
196312;;;29.23999977;20.39999962;6;;0.109999999;27.56609917;57.40000153;146.8999939;190.3000031;0;57361;30.89999962
196401;;;32.59000015;11.89999962;10;;0.109999999;27.80859947;57.90000153;147.1999969;191.6000061;0;57487;30.89999962
196402;;;32.81000137;15.5;4;;0.109999999;27.99720001;58.40000153;148.8999939;192.8000031;0;57753;30.89999962
196403;;;32.90000153;9.699999809;2;;0.109999999;27.99720001;57.59999847;149.8000031;194.3999939;0;57897;30.89999962
196404;;;30.44000053;-1.299999952;11;;0.189999998;28.45529938;58.20000076;149.3999939;195.3000031;0;57922;30.89999962
196405;;;29.51000023;6.800000191;12;;0.200000003;28.61700058;59.70000076;152.3000031;196.5;0;58089;30.89999962
196406;;;30.10000038;8.199999809;8;;0.209999993;28.69779968;60.59999847;152.6999969;198.1000061;0;58219;31
196407;;;30.98999977;-7.900000095;5;;0.219999999;28.8864994;61.59999847;154.3000031;199;0;58412;31.10000038
196408;;;30.29999924;0.699999988;11;;0.219999999;29.07509995;62.09999847;155.5;200.1000061;0;58619;31
196409;;;29.61000061;-4.400000095;8;;0.219999999;29.18289948;60.29999924;154.8000031;201.5;0;58903;31.10000038
196410;;;30.20999908;3.400000095;8;;0.230000004;28.77869987;61.20000076;155.8000031;202.5;0;58793;31.10000038
196411;;;31.17000008;14.5;8;;0.219999999;29.66790009;58.90000153;153.6000061;203.8000031;0;59218;31.20000076
196412;;;31.15999985;6.800000191;10;;0.219999999;30.01819992;58;157.8999939;205.1000061;0;59421;31.20000076
196501;;;29.20000076;16.70000076;6;;0.219999999;30.34160042;61;157.3000031;206.1000061;0;59582;31.20000076
196502;;;27.22999954;1.200000048;7;;0.230000004;30.53019905;65.40000153;159;207.1000061;0;59800;31.20000076
196503;;;26.29000092;34.90000153;13;;0.219999999;30.93440056;68.40000153;157;207.8999939;0;60003;31.29999924
196504;;;25.68000031;17.70000076;24;;0.150000006;31.06909943;67.30000305;160;209.6999969;0;60259;31.39999962
196505;;;24.48999977;20;13;;0.170000002;31.31159973;65.09999847;161.3000031;211.1000061;0;60491;31.39999962
196506;;;27.59000015;7.199999809;8;;0.159999996;31.55410004;62;161;212.3000031;0;60690;31.60000038
196507;-1.955;-2.063;26.45000076;35.29999924;8;19.27000046;0.140000001;31.85059929;63.5;163.8000031;213.6999969;0;60965;31.60000038
196508;-1.964;-2.156;24.72999954;28;8;19.69000053;0.140000001;31.98530006;66;163.3999939;215;0;61228;31.60000038
196509;-1.857;-2.093;23.17000008;-5.300000191;17;17.57999992;0.140000001;32.06610107;70.59999847;165;216.3999939;0;61490;31.60000038
196510;-1.690;-1.993;21.01000023;-4.400000095;11;13.59000015;0.129999995;32.38949966;69.5;170.6000061;218.3999939;0;61719;31.70000076
196511;-1.710;-1.850;16.12999916;1.5;20;13.96000004;0.140000001;32.52420044;69.09999847;169.8000031;220.1999969;0;61996;31.70000076
196512;-1.725;-1.733;12.35999966;0.100000001;11;13.89999962;0.140000001;32.92839813;68.80000305;171.1999969;221.6000061;0;62322;31.79999924
196601;-1.766;-1.819;11.19999981;-5.800000191;5;16.01000023;0.140000001;33.25180054;70.19999695;172.5;222.3999939;0;62529;31.79999924
196602;-1.873;-1.990;8.550000191;33.09999847;4;19.18000031;0.140000001;33.4673996;72.30000305;174.3000031;223.6000061;0;62796;32
196603;-1.626;-1.836;7.639999866;21;9;16;0.140000001;33.92539978;74.40000153;175.3999939;225.1999969;0;63192;32.09999847
196604;-1.657;-1.795;2.640000105;25;16;18.31999969;0.140000001;33.97930145;72.5;177.6999969;226.8000031;0;63437;32.29999924
196605;-1.587;-1.567;4.909999847;-3.599999905;10;17.95000076;0.129999995;34.30270004;68.69999695;176.1999969;228.1999969;0;63712;32.29999924
196606;-1.522;-1.414;2.25999999;18;13;15;0.150000006;34.46429825;68;177.8999939;229.6000061;0;64111;32.40000153
196607;-1.423;-1.299;2.410000086;8.300000191;8;14.68000031;0.150000006;34.65299988;69.59999847;179.6999969;231.3000031;0;64301;32.5
196608;-1.253;-1.144;3.019999981;0.300000012;5;12.97000027;0.150000006;34.67990112;72.30000305;179.1000061;231.8000031;0;64507;32.70000076
196609;-1.359;-1.465;3.880000114;-0.400000006;1;15.06000042;0.150000006;35.00329971;75.09999847;180.5;233.5;0;64643;32.70000076
196610;-1.367;-1.316;11.93999958;-9.399999619;5;15.93999958;0.150000006;35.24580002;73.40000153;180;234.8999939;0;64854;32.90000153
196611;-1.322;-1.356;5.079999924;-4.099999905;5;16.45000076;0.140000001;35.00329971;72.30000305;180.6999969;237.1000061;0;65019;32.90000153
196612;-1.208;-1.285;2.859999895;2.299999952;3;15.69999981;0.140000001;35.08409882;72.19999695;180.5;239.1000061;0;65199;32.90000153
196701;-1.112;-1.091;1.110000014;44.70000076;2;13.60000038;0.129999995;35.24959946;72.5;181.5;240.3000031;0;65407;32.90000153
196702;-1.075;-0.889;-0.720000029;7.900000095;4;14.97000027;0.129999995;34.84980011;69.90000153;182.6999969;240.3999939;0;65429;32.90000153
196703;-1.185;-0.915;-2.380000114;22.60000038;4;16.88999939;0.119999997;34.65340042;71;182.8999939;241.8999939;0;65530;33
196704;-1.103;-0.957;-4.920000076;8;12;18.23999977;0.119999997;34.98020172;74.30000305;183.6000061;243.3999939;0;65466;33.09999847
196705;-1.156;-0.965;-8.329999924;20.70000076;8;16.89999962;0.119999997;34.67499924;74;183.6000061;244.6999969;0;65620;33.20000076
196706;-1.056;-0.975;-13.61999989;43.29999924;5;16.11000061;0.090000004;34.67070007;75.19999695;184.8999939;246.6999969;0;65750;33.29999924
