Date;Value Returns;Momentum Returns;Value-Momentum Spread;Value 12M Returns;Momentum 12M Returns;Value-Momentum 12M Spread;Value 36M Returns;Momentum 36M Returns;Value-Momentum 36M Spread;Rolling Value Mean;Rolling Momentum Mean;Rolling Mean Difference;Value Volatility;Momentum Volatility;Volatility Difference;Value Skewness;Momentum Skewness;Skewness Difference;Value Excess Curtosis;Momentum Excess Kurtosis;Kurtosis Difference;Correlation;Value Drawdown;Momentum Drawdown;Drawdown Difference;Regime;;
31.05.1928;-0.002655228;0.00259741;-0.005252638;-0.094680364;0.059385027;-0.154065392;;;;-0.008200426;0.004965091;-0.013165517;0.01082632;0.017903488;-0.007077167;-0.240702666;0.053413497;-0.294116163;-0.496571058;-1.21344437;0.716873312;-0.665352695;-0.161235379;0;-0.161235379;1;;
29.06.1928;0.001977546;0.010713483;-0.008735937;-0.074805573;0.079015407;-0.153820981;;;;-0.006406741;0.006497406;-0.012904146;0.010555254;0.017505837;-0.006950583;-0.644603414;-0.213932636;-0.430670778;0.137801528;-0.960951879;1.098753408;-0.755939173;-0.159576683;0;-0.159576683;1;;
31.07.1928;0.017647477;-0.026978163;0.04462564;-0.050137791;0.036053683;-0.086191475;;;;-0.004204395;0.003135072;-0.007339467;0.012578167;0.019791453;-0.007213286;-0.254584124;-0.0624811;-0.192103024;0.079504439;-1.228390524;1.307894963;-0.816752742;-0.144745332;-0.026978163;-0.117767169;0;;
31.08.1928;-0.011769767;0.017737628;-0.029507395;-0.053864937;0.059919429;-0.113784366;;;;-0.004528809;0.005044735;-0.009573544;0.012730774;0.020020621;-0.007289848;-0.174053845;-0.354741175;0.180687331;-0.128004314;-1.213995683;1.085991368;-0.845366381;-0.15481148;-0.009719064;-0.145092416;1;;
28.09.1928;0.001521155;0.008072295;-0.006551141;-0.060389905;0.089238756;-0.149628661;;;;-0.005108384;0.007305947;-0.012414331;0.012233498;0.018526983;-0.006293485;-0.143321;-0.648596672;0.505275672;0.292362294;-0.338390165;0.63075246;-0.811250254;-0.153525818;-0.001725224;-0.151800594;1;;
31.10.1928;-0.012329831;0.010276328;-0.02260616;-0.076400546;0.123529396;-0.199929942;;;;-0.00653516;0.009875456;-0.016410616;0.011969495;0.01631772;-0.004348225;0.192645441;-0.977491412;1.170136854;0.618472494;1.397717745;-0.779245251;-0.802516269;-0.163962702;0;-0.163962702;1;;
30.11.1928;0.005332902;0.027800496;-0.022467594;-0.050843669;0.133924919;-0.184768588;;;;-0.00427937;0.010660673;-0.014940042;0.011380452;0.016977431;-0.005596978;-0.115923233;-0.919849509;0.803926276;1.064916257;1.010950969;0.053965288;-0.660346817;-0.159504196;0;-0.159504196;1;;
31.12.1928;-0.007866106;0.012329847;-0.020195953;-0.048250961;0.121259546;-0.169510507;;;;-0.004054143;0.009707761;-0.013761904;0.011270881;0.01648894;-0.005218059;-0.175845983;-0.850390911;0.674544928;1.268565547;1.254254361;0.014311186;-0.647872405;-0.166115626;0;-0.166115626;1;;
31.01.1929;-0.034675375;0.032254355;-0.06692973;-0.072566522;0.1312986;-0.203865123;;;;-0.006163226;0.010471107;-0.016634332;0.014312809;0.017354319;-0.003041509;-0.613891111;-0.698716752;0.084825641;0.554311648;0.826475709;-0.272164061;-0.704325619;-0.195030879;0;-0.195030879;1;;
28.02.1929;0.006614996;0.002392496;0.0042225;-0.060455765;0.146237996;-0.206693761;;;;-0.005081951;0.011559823;-0.016641774;0.014779088;0.016284128;-0.00150504;-0.750986863;-0.861340205;0.110353342;0.351972458;2.083481249;-1.731508791;-0.772836561;-0.189706011;0;-0.189706011;0;;
29.03.1929;-0.001355737;-0.000538754;-0.000816983;-0.03524362;0.107906026;-0.143149646;;;;-0.002907139;0.008678162;-0.0115853;0.01300097;0.014949058;-0.001948088;-1.153116008;-0.838869529;-0.314246478;2.731140931;2.51741274;0.213728192;-0.707652651;-0.190804557;-0.000538754;-0.190265803;1;;
30.04.1929;-0.002488614;0.001212061;-0.003700675;-0.040209379;0.101012728;-0.141222107;;;;-0.003337215;0.00815579;-0.011493005;0.012884462;0.015103436;-0.002218974;-1.073321106;-0.701967007;-0.371354098;2.755021847;2.110345177;0.64467667;-0.706350592;-0.192818332;0;-0.192818332;1;;
31.05.1929;0.008629143;0.005982602;0.002646541;-0.029349911;0.104730212;-0.134080123;;;;-0.002396851;0.00843789;-0.010834741;0.013342414;0.015021571;-0.001679157;-1.142051168;-0.775925013;-0.366126155;2.385232397;2.323009143;0.062223254;-0.697343824;-0.185853046;0;-0.185853046;0;;
28.06.1929;-0.030679391;0.026644688;-0.05732408;-0.060985808;0.12214334;-0.183129149;-0.157408036;0.355139559;-0.512547594;-0.005118262;0.00976549;-0.014883752;0.01552158;0.015918207;-0.000396627;-0.749588972;-0.790144229;0.040555257;0.126455291;1.585313303;-1.458858012;-0.742850092;-0.210830579;0;-0.210830579;1;;
